date,active_cal,active_goal,exercise_min,exercise_goal,stand_hrs,stand_goal
2023-05-12,145,130,0,0,0,0
2023-05-13,125,130,0,0,0,0
2023-05-14,113,130,0,0,0,0
2023-05-15,101,130,0,0,0,0
2023-05-16,139,130,0,0,0,0
2023-05-17,212,130,0,0,0,0
2023-05-18,115,130,0,0,0,0
2023-05-19,129,130,0,0,0,0
2023-05-20,171,130,0,0,0,0
2023-05-21,252,130,0,0,0,0
2023-05-22,102,130,0,0,0,0
2023-05-23,86,130,0,0,0,0
2023-05-24,57,130,0,0,0,0
2023-05-25,301,130,0,0,0,0
2023-05-26,67,130,0,0,0,0
2023-05-27,126,130,0,0,0,0
2023-05-28,589,130,0,0,0,0
2023-05-29,194,130,0,0,0,0
2023-05-30,948,130,0,0,0,0
2023-05-31,160,130,0,0,0,0
2023-06-01,130,130,0,0,0,0
2023-06-02,87,130,0,0,0,0
2023-06-03,191,130,0,0,0,0
2023-06-04,147,130,0,0,0,0
2023-06-05,81,130,0,0,0,0
2023-06-06,31,130,0,0,0,0
2023-06-07,222,130,0,0,0,0
2023-06-08,122,130,0,0,0,0
2023-06-09,136,130,0,0,0,0
2023-06-10,113,130,0,0,0,0
2023-06-11,286,130,0,0,0,0
2023-06-12,193,130,0,0,0,0
2023-06-13,176,130,0,0,0,0
2023-06-14,39,130,0,0,0,0
2023-06-15,149,130,0,0,0,0
2023-06-16,102,130,0,0,0,0
2023-06-17,152,130,0,0,0,0
2023-06-18,247,130,0,0,0,0
2023-06-19,207,500,0,50,2,6
2023-06-20,662,500,49,50,13,6
2023-06-21,869,500,99,50,10,6
2023-06-22,827,500,99,50,16,6
2023-06-23,936,500,76,50,13,6
2023-06-24,683,500,65,50,17,6
2023-06-25,1002,500,66,50,15,6
2023-06-26,703,500,69,50,14,6
2023-06-27,860,500,70,50,11,6
2023-06-28,954,500,94,50,15,6
2023-06-29,802,500,62,50,10,6
2023-06-30,850,500,74,50,7,6
2023-07-01,661,500,55,50,10,6
2023-07-02,896,500,86,50,17,6
2023-07-03,719,500,70,50,9,6
2023-07-04,880,500,103,50,12,6
2023-07-05,847,500,78,50,13,6
2023-07-06,944,500,98,50,14,6
2023-07-07,907,500,77,50,16,6
2023-07-08,700,500,22,50,17,6
2023-07-09,138,500,9,50,5,6
2023-07-10,770,500,73,50,14,6
2023-07-11,895,500,105,50,13,6
2023-07-12,758,500,88,50,14,6
2023-07-13,1007,500,78,50,12,6
2023-07-14,956,500,84,50,15,6
2023-07-15,459,500,14,50,14,6
2023-07-16,1303,500,134,50,14,6
2023-07-17,616,500,56,50,15,6
2023-07-18,565,500,64,50,12,6
2023-07-19,760,500,78,50,14,6
2023-07-20,1078,500,80,50,9,6
2023-07-21,1073,500,151,50,16,6
2023-07-22,552,500,34,50,14,6
2023-07-23,316,500,26,50,8,6
2023-07-24,606,500,62,50,15,6
2023-07-25,733,500,85,50,15,6
2023-07-26,693,500,81,50,11,6
2023-07-27,1268,500,98,50,12,6
2023-07-28,623,500,62,50,13,6
2023-07-29,1098,500,101,50,18,6
2023-07-30,616,500,66,50,12,6
2023-07-31,1026,500,71,50,12,6
2023-08-01,744,500,73,50,12,6
2023-08-02,562,500,71,50,12,6
2023-08-03,722,500,73,50,11,6
2023-08-04,1189,500,89,50,15,6
2023-08-05,477,500,21,50,14,6
2023-08-06,670,500,45,50,17,6
2023-08-07,608,500,48,50,16,6
2023-08-08,493,500,28,50,15,6
2023-08-09,170,500,9,50,5,6
2023-08-10,1136,500,94,50,13,6
2023-08-11,849,500,87,50,17,6
2023-08-12,566,500,28,50,17,6
2023-08-13,776,500,70,50,14,6
2023-08-14,714,500,92,50,11,6
2023-08-15,1143,500,88,50,11,6
2023-08-16,761,500,91,50,14,6
2023-08-17,730,500,79,50,14,6
2023-08-18,1145,500,81,50,14,6
2023-08-19,443,500,13,50,15,6
2023-08-20,619,500,57,50,13,6
2023-08-21,621,500,71,50,13,6
2023-08-22,1168,500,101,50,14,6
2023-08-23,909,500,113,50,14,6
2023-08-24,647,500,91,50,9,6
2023-08-25,986,500,91,50,14,6
2023-08-26,472,500,15,50,14,6
2023-08-27,667,500,69,50,13,6
2023-08-28,1145,500,91,50,14,6
2023-08-29,924,500,108,50,9,6
2023-08-30,639,500,67,50,11,6
2023-08-31,605,500,66,50,14,6
2023-09-01,1372,500,127,50,13,6
2023-09-02,596,500,26,50,15,6
2023-09-03,761,500,83,50,13,6
2023-09-04,1221,500,79,50,15,6
2023-09-05,826,500,93,50,15,6
2023-09-06,675,500,69,50,10,6
2023-09-07,671,500,69,50,14,6
2023-09-08,1342,500,130,50,11,6
2023-09-09,477,500,26,50,14,6
2023-09-10,228,500,10,50,9,6
2023-09-11,572,500,61,50,14,6
2023-09-12,685,500,74,50,17,6
2023-09-13,262,500,14,50,11,6
2023-09-14,1113,500,83,50,12,6
2023-09-15,576,500,16,50,14,6
2023-09-16,656,500,16,50,16,6
2023-09-17,349,500,10,50,11,6
2023-09-18,1139,500,76,50,19,6
2023-09-19,336,500,19,50,13,6
2023-09-20,1212,500,126,50,14,6
2023-09-21,246,500,10,50,10,6
2023-09-22,1498,500,104,50,19,6
2023-09-23,460,500,17,50,16,6
2023-09-24,833,500,59,50,15,6
2023-09-25,680,500,49,50,15,6
2023-09-26,939,500,78,50,9,6
2023-09-27,643,500,70,50,17,6
2023-09-28,646,500,30,50,16,6
2023-09-29,1104,500,113,50,14,6
2023-09-30,776,500,50,50,15,6
2023-10-01,141,500,6,50,7,6
2023-10-02,466,500,20,50,15,6
2023-10-03,451,500,42,50,11,6
2023-10-04,475,500,27,50,13,6
2023-10-05,398,500,3,50,16,6
2023-10-06,418,500,8,50,14,6
2023-10-07,337,500,8,50,11,6
2023-10-08,440,500,23,50,16,6
2023-10-09,246,500,7,50,13,6
2023-10-10,236,500,4,50,13,6
2023-10-11,670,500,66,50,12,6
2023-10-12,614,500,53,50,11,6
2023-10-13,876,500,70,50,16,6
2023-10-14,682,500,52,50,13,6
2023-10-15,438,500,15,50,13,6
2023-10-16,645,500,55,50,15,6
2023-10-17,641,500,80,50,8,6
2023-10-18,622,500,67,50,16,6
2023-10-19,588,500,62,50,12,6
2023-10-20,1133,500,82,50,13,6
2023-10-21,171,500,9,50,5,6
2023-10-22,778,500,83,50,14,6
2023-10-23,617,500,61,50,11,6
2023-10-24,813,500,76,50,16,6
2023-10-25,843,500,90,50,14,6
2023-10-26,384,500,20,50,13,6
2023-10-27,511,500,36,50,11,6
2023-10-28,1179,500,105,50,13,6
2023-10-29,652,500,74,50,14,6
2023-10-30,298,500,12,50,11,6
2023-10-31,1,500,0,50,0,6
2023-11-02,0,500,0,50,0,6
2023-11-03,274,500,8,50,9,6
2023-11-04,273,500,12,50,13,6
2023-11-05,439,500,8,50,14,6
2023-11-06,262,500,16,50,15,6
2023-11-07,415,500,21,50,11,6
2023-11-08,13,500,0,50,0,6
2023-11-09,717,500,90,50,14,6
2023-11-10,456,500,20,50,15,6
2023-11-11,663,500,66,50,15,6
2023-11-12,584,500,63,50,8,6
2023-11-13,779,500,72,50,13,6
2023-11-14,1231,500,111,50,15,6
2023-11-15,914,500,90,50,15,6
2023-11-16,875,500,41,50,21,6
2023-11-17,247,500,24,50,11,6
2023-11-18,837,500,71,50,14,6
2023-11-19,532,500,26,50,15,6
2023-11-20,8,500,1,50,1,6
2023-11-21,568,500,39,50,17,6
2023-11-22,695,500,67,50,14,6
2023-11-23,514,500,30,50,17,6
2023-11-24,486,500,60,50,5,6
2023-11-25,640,500,55,50,13,6
2023-11-26,538,500,30,50,16,6
2023-11-27,694,500,64,50,14,6
2023-11-28,378,500,21,50,13,6
2023-11-29,834,500,107,50,17,6
2023-11-30,390,500,25,50,11,6
2023-12-01,0,500,0,50,0,6
2023-12-02,864,500,80,50,14,6
2023-12-03,592,500,32,50,16,6
2023-12-04,0,500,0,50,0,6
2023-12-05,610,500,68,50,14,6
2023-12-06,243,500,8,50,12,6
2023-12-08,0,500,0,50,0,6
2023-12-09,822,500,68,50,15,6
2023-12-10,16,500,1,50,1,6
2023-12-11,0,500,0,50,0,6
2023-12-12,283,500,10,50,10,6
2023-12-13,705,500,70,50,16,6
2023-12-14,3,500,0,50,0,6
2023-12-15,213,500,3,50,7,6
2023-12-16,1001,500,99,50,18,6
2023-12-17,667,500,67,50,12,6
2023-12-18,849,500,84,50,15,6
2023-12-19,839,500,88,50,15,6
2023-12-20,580,500,72,50,10,6
2023-12-21,192,500,5,50,8,6
2023-12-22,346,500,19,50,13,6
2023-12-23,41,500,4,50,3,6
2023-12-24,0,500,0,50,0,6
2023-12-25,182,500,7,50,7,6
2023-12-26,575,500,32,50,15,6
2023-12-27,1,500,0,50,0,6
2023-12-28,487,500,30,50,15,6
2023-12-29,442,500,28,50,15,6
