date,type,value,source
2017-01-08,height_cm,172.0,Health
2017-01-08,weight_kg,75.0,Health
2017-02-04,weight_kg,77.0,Connect
2017-02-04,weight_kg,77.0,Connect
2017-02-06,weight_kg,77.02,Connect
2017-02-07,weight_kg,77.02,MyFitnessPal
2017-02-07,weight_kg,77.02,Connect
2017-02-08,weight_kg,77.02,MyFitnessPal
2017-02-08,weight_kg,75.7,Connect
2017-02-09,weight_kg,75.7,MyFitnessPal
2017-02-10,weight_kg,75.5,MyFitnessPal
2017-02-10,weight_kg,75.0001,Connect
2017-02-12,weight_kg,75.0001,MyFitnessPal
2017-02-13,weight_kg,74.6999,Connect
2017-02-14,weight_kg,74.6999,MyFitnessPal
2017-02-15,weight_kg,74.8999,MyFitnessPal
2017-02-15,weight_kg,74.8999,Connect
2017-02-16,weight_kg,74.8001,Connect
2017-02-18,weight_kg,74.8001,MyFitnessPal
2017-02-19,weight_kg,74.3002,Connect
2017-02-20,weight_kg,74.3002,MyFitnessPal
2017-02-20,weight_kg,74.5003,Connect
2017-02-21,weight_kg,74.5003,MyFitnessPal
2017-02-23,weight_kg,74.6001,MyFitnessPal
2017-02-23,weight_kg,74.6001,Connect
2017-02-24,weight_kg,74.8001,Connect
2017-02-25,weight_kg,74.8001,MyFitnessPal
2017-02-28,weight_kg,74.2,MyFitnessPal
2017-02-28,weight_kg,74.2,Connect
2017-03-01,weight_kg,74.1002,Connect
2017-03-01,weight_kg,74.1002,Connect
2017-03-02,weight_kg,74.1002,MyFitnessPal
2017-03-05,weight_kg,76.7002,MyFitnessPal
2017-03-05,weight_kg,76.7002,MyFitnessPal
2017-03-05,weight_kg,76.7002,Connect
2017-03-05,weight_kg,76.7002,Connect
2017-03-06,weight_kg,76.7002,MyFitnessPal
2017-03-06,weight_kg,76.7002,Connect
2017-03-07,weight_kg,76.7002,MyFitnessPal
2017-03-07,weight_kg,76.7002,Connect
2017-03-12,weight_kg,76.7002,MyFitnessPal
2017-03-12,weight_kg,76.7002,Connect
2017-03-12,weight_kg,76.7002,Connect
2017-03-14,weight_kg,75.9001,Connect
2017-03-15,weight_kg,75.9001,MyFitnessPal
2017-05-12,weight_kg,74.0,Connect
2017-08-19,weight_kg,74.0,Connect
2017-08-20,weight_kg,74.0,Connect
2017-08-21,weight_kg,74.0,Connect
2017-08-22,weight_kg,74.0,Connect
2017-08-23,weight_kg,74.0,Connect
2017-08-24,weight_kg,74.0,Connect
2017-08-25,weight_kg,74.0,Connect
2017-08-26,weight_kg,74.0,Connect
2017-08-27,weight_kg,74.0,Connect
2017-08-28,weight_kg,74.0,Connect
2017-08-29,weight_kg,74.0,Connect
2017-08-30,weight_kg,74.0,Connect
2017-08-31,weight_kg,74.0,Connect
2017-09-01,weight_kg,74.0,Connect
2017-09-02,weight_kg,74.0,Connect
2017-09-03,weight_kg,74.0,Connect
2017-09-04,weight_kg,74.0,Connect
2017-09-05,weight_kg,74.0,Connect
2017-09-06,weight_kg,74.0,Connect
2017-09-07,weight_kg,74.0,Connect
2017-09-08,weight_kg,74.0,Connect
2017-09-09,weight_kg,74.0,Connect
2017-09-10,weight_kg,74.0,Connect
2017-09-11,weight_kg,74.0,Connect
2017-09-12,weight_kg,74.0,Connect
2017-09-13,weight_kg,74.0,Connect
2017-09-14,weight_kg,74.0,Connect
2017-09-15,weight_kg,74.0,Connect
2017-09-16,weight_kg,74.0,Connect
2017-09-17,weight_kg,74.0,Connect
2017-09-18,weight_kg,74.0,Connect
2017-09-19,weight_kg,74.0,Connect
2017-09-20,weight_kg,74.0,Connect
2017-09-21,weight_kg,74.0,Connect
2017-09-22,weight_kg,74.0,Connect
2017-09-23,weight_kg,74.0,Connect
2017-09-24,weight_kg,74.0,Connect
2017-09-25,weight_kg,74.0,Connect
2017-09-26,weight_kg,74.0,Connect
2017-09-27,weight_kg,74.0,Connect
2017-09-28,weight_kg,74.0,Connect
2017-09-29,weight_kg,74.0,Connect
2017-09-30,weight_kg,74.0,Connect
2017-10-01,weight_kg,74.0,Connect
2017-10-02,weight_kg,74.0,Connect
2017-10-03,weight_kg,74.0,Connect
2017-10-04,weight_kg,74.0,Connect
