date,active_cal,asymmetry_pct,basal_cal,daylight_min,distance_km,double_support_pct,env_audio_db,exercise_min,flights,headphone_db,physical_effort,resp_rate,run_gct_ms,run_power_w,run_speed_kmh,run_stride_cm,run_vert_osc_cm,stair_down_speed,stair_up_speed,stand_min,steps,walk_speed_kmh,walk_stride_cm
2017-02-05,,,,,,,,,10.86,,,,,,,,,,,,9150.0,,
2017-02-06,,,,,,,,,,,,,,,,,,,,,7661.0,,
2017-02-07,,,,,,,,,,,,,,,,,,,,,8612.0,,
2017-02-08,325.04,,,,,,,,,,,,,,,,,,,,12488.0,,
2017-02-09,295.2,,,,,,,,14.95,,,,,,,,,,,,18043.0,,
2017-02-10,,,,,,,,,,,,,,,,,,,,,13150.0,,
2017-02-11,,,,,,,,,,,,,,,,,,,,,10089.0,,
2017-02-12,,,,,,,,,3.25,,,,,,,,,,,,10335.0,,
2017-02-13,295.2,,,,,,,,,,,,,,,,,,,,11434.0,,
2017-02-14,,,,,,,,,4.13,,,,,,,,,,,,11741.0,,
2017-02-15,254.7,,,,,,,,,,,,,,,,,,,,16395.0,,
2017-02-16,,,,,,,,,,,,,,,,,,,,,14969.0,,
2017-02-17,192.32,,,,,,,,4.66,,,,,,,,,,,,14265.0,,
2017-02-18,,,,,,,,,,,,,,,,,,,,,9773.0,,
2017-02-19,,,,,,,,,,,,,,,,,,,,,13862.0,,
2017-02-20,,,,,,,,,,,,,,,,,,,,,16552.0,,
2017-02-21,47.71,,,,,,,,,,,,,,,,,,,,19351.0,,
2017-02-22,,,,,,,,,,,,,,,,,,,,,14044.0,,
2017-02-23,,,,,,,,,,,,,,,,,,,,,13267.0,,
2017-02-24,47.71,,,,,,,,2.97,,,,,,,,,,,,16714.0,,
2017-02-25,,,,,,,,,,,,,,,,,,,,,10061.0,,
2017-02-26,,,,,,,,,,,,,,,,,,,,,11719.0,,
2017-02-27,,,,,,,,,,,,,,,,,,,,,10966.0,,
2017-02-28,,,,,,,,,3.66,,,,,,,,,,,,12547.0,,
2017-03-01,295.2,,,,,,,,,,,,,,,,,,,,16201.0,,
2017-03-02,,,,,,,,,,,,,,,,,,,,,13194.0,,
2017-03-03,,,,,,,,,3.08,,,,,,,,,,,,16613.0,,
2017-03-04,,,,,,,,,,,,,,,,,,,,,6112.0,,
2017-03-05,,,,,,,,,,,,,,,,,,,,,12821.0,,
2017-03-06,,,,,,,,,,,,,,,,,,,,,8495.0,,
2017-03-07,,,,,,,,,,,,,,,,,,,,,6350.0,,
2017-03-08,,,,,,,,,,,,,,,,,,,,,8292.0,,
2017-03-09,,,,,,,,,,,,,,,,,,,,,26312.0,,
2017-03-10,,,,,,,,,,,,,,,,,,,,,13947.0,,
2017-03-11,,,,,,,,,11.82,,,,,,,,,,,,14872.0,,
2017-03-12,,,,,,,,,,,,,,,,,,,,,4363.0,,
2017-03-13,,,,,,,,,,,,,,,,,,,,,5945.0,,
2017-03-14,,,,,,,,,,,,,,,,,,,,,11312.0,,
2017-03-15,503.69,,,,,,,,,,,,,,,,,,,,11731.0,,
2017-03-16,,,,,,,,,3.6,,,,,,,,,,,,12321.0,,
2017-03-17,,,,,,,,,,,,,,,,,,,,,18442.0,,
2017-03-18,,,,,,,,,,,,,,,,,,,,,7742.0,,
2017-03-19,,,,,,,,,,,,,,,,,,,,,8751.0,,
2017-03-20,,,,,,,,,,,,,,,,,,,,,14001.0,,
2017-03-21,,,,,,,,,,,,,,,,,,,,,11038.0,,
2017-03-22,,,,,,,,,,,,,,,,,,,,,11561.0,,
2017-03-23,503.69,,,,,,,,,,,,,,,,,,,,10801.0,,
2017-03-24,,,,,,,,,,,,,,,,,,,,,10572.0,,
2017-03-25,,,,,,,,,,,,,,,,,,,,,12654.0,,
2017-03-26,,,,,,,,,,,,,,,,,,,,,11748.0,,
2017-03-27,,,,,,,,,,,,,,,,,,,,,14201.0,,
2017-03-28,,,,,,,,,3.46,,,,,,,,,,,,10695.0,,
2017-03-29,,,,,,,,,,,,,,,,,,,,,4874.0,,
2017-03-30,,,,,,,,,,,,,,,,,,,,,11706.0,,
2017-03-31,426.78,,,,,,,,,,,,,,,,,,,,9441.0,,
2017-04-01,,,,,,,,,,,,,,,,,,,,,11840.0,,
2017-04-02,,,,,,,,,,,,,,,,,,,,,12169.0,,
2017-04-03,,,,,,,,,,,,,,,,,,,,,10513.0,,
2017-04-04,,,,,,,,,,,,,,,,,,,,,12588.0,,
2017-04-05,,,,,,,,,,,,,,,,,,,,,12818.0,,
2017-04-06,,,,,,,,,,,,,,,,,,,,,14617.0,,
2017-04-07,,,,,,,,,7.81,,,,,,,,,,,,16378.0,,
2017-04-08,,,,,,,,,,,,,,,,,,,,,11036.0,,
2017-04-09,,,,,,,,,,,,,,,,,,,,,22218.0,,
2017-04-10,,,,,,,,,,,,,,,,,,,,,7461.0,,
2017-04-11,,,,,,,,,,,,,,,,,,,,,12933.0,,
2017-04-12,,,,,,,,,,,,,,,,,,,,,12025.0,,
2017-04-13,,,,,,,,,,,,,,,,,,,,,7963.0,,
