date,hrv_ms
2023-06-19 18:24,35.6
2023-06-19 20:34,39.0
2023-06-19 21:23,36.6
2023-06-19 23:20,43.6
2023-06-20 01:20,82.4
2023-06-20 03:20,71.3
2023-06-20 05:28,45.2
2023-06-20 07:22,31.6
2023-06-20 09:21,84.8
2023-06-20 11:22,115.6
2023-06-20 13:20,99.8
2023-06-20 15:43,17.9
2023-06-20 17:20,21.3
2023-06-20 19:22,25.4
2023-06-20 21:20,30.3
2023-06-20 23:20,58.1
2023-06-21 01:20,56.7
2023-06-21 03:20,24.4
2023-06-21 05:32,58.4
2023-06-21 07:20,42.9
2023-06-21 09:20,120.3
2023-06-21 11:38,68.3
2023-06-21 15:00,11.1
2023-06-21 16:57,45.3
2023-06-21 17:29,98.7
2023-06-21 19:20,22.2
2023-06-21 21:20,43.0
2023-06-21 23:20,43.6
2023-06-22 01:20,90.0
2023-06-22 03:20,41.0
2023-06-22 05:29,70.2
2023-06-22 08:19,27.5
2023-06-22 09:21,71.1
2023-06-22 11:22,66.2
2023-06-22 13:29,56.8
2023-06-22 17:14,52.5
2023-06-22 17:32,79.6
2023-06-22 18:24,19.6
2023-06-22 21:04,24.9
2023-06-22 22:21,37.1
2023-06-23 00:21,36.6
2023-06-23 02:21,25.5
2023-06-23 04:21,33.0
2023-06-23 06:22,32.5
2023-06-23 08:21,98.4
2023-06-23 13:07,36.5
2023-06-23 14:44,19.8
2023-06-23 16:42,18.7
2023-06-23 18:36,24.4
2023-06-23 20:24,20.6
2023-06-24 00:14,18.9
2023-06-24 00:21,55.6
2023-06-24 02:21,22.6
2023-06-24 04:21,63.7
2023-06-24 06:46,129.0
2023-06-24 08:31,28.1
2023-06-24 13:33,49.3
2023-06-24 14:22,51.1
2023-06-24 17:00,26.6
2023-06-24 18:28,23.8
2023-06-24 20:21,24.4
2023-06-24 22:21,33.3
2023-06-25 00:21,53.4
2023-06-25 02:21,43.4
2023-06-25 04:21,79.3
2023-06-25 07:47,69.8
2023-06-25 08:35,79.3
2023-06-25 13:11,24.0
2023-06-25 15:34,35.5
2023-06-25 16:25,45.7
2023-06-25 18:22,24.8
2023-06-25 20:38,78.7
2023-06-25 22:21,58.4
2023-06-26 00:21,54.9
2023-06-26 02:21,75.3
2023-06-26 04:21,38.9
2023-06-26 06:30,30.6
2023-06-26 08:29,36.0
2023-06-26 10:22,96.2
2023-06-26 12:22,158.3
2023-06-26 15:13,46.2
2023-06-26 16:51,63.5
2023-06-26 18:33,45.9
2023-06-26 21:09,35.3
2023-06-26 22:21,49.5
2023-06-27 00:21,90.2
2023-06-27 02:21,172.0
2023-06-27 04:21,43.1
2023-06-27 06:26,72.2
2023-06-27 08:56,73.9
2023-06-27 12:38,97.6
2023-06-27 14:32,151.9
2023-06-27 17:01,70.7
2023-06-27 18:23,53.5
2023-06-27 20:21,43.2
2023-06-27 22:21,74.5
2023-06-28 00:21,50.9
2023-06-28 02:21,55.1
2023-06-28 04:22,38.9
2023-06-28 08:22,67.9
2023-06-28 10:21,63.7
2023-06-28 12:21,18.4
2023-06-28 14:23,15.7
2023-06-28 17:20,34.1
2023-06-28 19:59,20.0
2023-06-28 20:42,12.6
2023-06-29 07:03,30.1
2023-06-29 07:54,37.7
2023-06-29 10:40,27.8
2023-06-29 12:42,42.0
2023-06-29 18:59,74.0
2023-06-30 07:16,26.5
2023-06-30 07:48,27.9
2023-06-30 12:02,37.0
2023-06-30 12:55,38.7
2023-07-01 16:38,57.5
2023-07-01 18:30,42.1
2023-07-01 20:27,16.1
2023-07-01 22:27,9.5
2023-07-02 00:27,15.1
2023-07-02 02:27,36.1
2023-07-02 04:27,74.9
2023-07-02 09:20,56.3
2023-07-02 11:29,22.9
2023-07-02 12:42,21.3
2023-07-02 14:27,36.5
2023-07-02 16:43,61.3
2023-07-02 19:03,28.7
2023-07-02 20:27,57.1
2023-07-02 22:27,103.8
2023-07-03 00:27,51.3
2023-07-03 02:27,31.1
2023-07-03 04:27,78.8
2023-07-03 06:47,84.4
2023-07-03 08:27,86.2
2023-07-03 10:29,81.9
2023-07-03 12:29,121.4
2023-07-03 14:46,29.4
2023-07-03 16:38,62.0
2023-07-03 21:55,22.5
2023-07-03 22:27,119.3
2023-07-04 00:27,42.1
2023-07-04 02:27,41.4
2023-07-04 04:27,60.0
2023-07-04 06:31,21.7
2023-07-04 08:30,75.1
2023-07-04 10:28,148.7
2023-07-04 12:27,122.9
2023-07-04 14:38,51.7
2023-07-04 16:30,48.5
2023-07-04 19:28,23.0
2023-07-04 21:02,25.6
2023-07-04 22:27,117.3
2023-07-05 00:27,162.0
2023-07-05 02:27,74.5
2023-07-05 04:27,26.7
2023-07-05 06:32,29.0
2023-07-05 08:51,73.5
2023-07-05 10:27,158.7
2023-07-05 12:27,43.6
2023-07-05 14:38,40.1
2023-07-05 16:31,32.6
2023-07-05 18:31,14.8
2023-07-05 21:47,19.1
2023-07-05 22:27,83.8
2023-07-06 00:27,62.1
2023-07-06 02:27,42.5
2023-07-06 04:27,37.8
2023-07-06 06:42,29.9
2023-07-06 08:43,36.8
2023-07-06 10:27,81.8
2023-07-06 12:47,32.1
2023-07-06 14:06,24.8
2023-07-06 16:20,48.3
2023-07-06 18:55,16.6
2023-07-06 20:06,11.4
2023-07-06 22:20,21.1
2023-07-07 00:06,26.4
2023-07-07 02:06,44.8
2023-07-07 04:07,45.4
2023-07-07 06:20,46.0
2023-07-07 08:19,30.8
2023-07-07 10:40,25.4
2023-07-07 12:24,28.7
2023-07-07 14:16,56.8
2023-07-07 16:19,45.3
2023-07-07 18:07,52.1
2023-07-07 20:12,76.4
2023-07-07 23:26,35.5
2023-07-08 00:20,86.2
2023-07-08 06:33,29.7
2023-07-08 08:08,38.6
2023-07-08 10:37,44.6
2023-07-08 14:25,69.4
2023-07-08 17:01,10.6
2023-07-08 19:11,9.9
2023-07-08 20:06,28.4
2023-07-08 22:06,15.1
2023-07-09 00:06,19.5
2023-07-09 02:06,57.5
2023-07-09 04:06,12.3
2023-07-09 06:06,42.9
2023-07-09 08:27,25.0
2023-07-09 10:07,46.6
2023-07-09 19:23,43.5
2023-07-09 20:41,22.4
2023-07-09 22:41,26.3
2023-07-10 00:58,55.6
2023-07-10 02:41,91.8
2023-07-10 04:41,24.2
2023-07-10 07:36,33.9
2023-07-10 08:41,54.7
2023-07-10 10:43,60.4
2023-07-10 12:44,117.5
2023-07-10 15:26,47.4
2023-07-10 16:41,85.1
2023-07-10 18:42,22.8
2023-07-10 21:17,28.1
2023-07-10 22:41,74.6
2023-07-11 00:41,44.3
2023-07-11 02:41,142.8
2023-07-11 04:41,66.0
2023-07-11 07:01,51.6
2023-07-11 08:43,76.2
2023-07-11 10:42,85.0
2023-07-11 12:57,17.3
2023-07-11 14:44,39.5
2023-07-11 16:47,34.3
2023-07-11 18:44,34.5
2023-07-11 21:15,43.1
2023-07-11 22:41,154.4
2023-07-12 00:41,71.6
2023-07-12 02:41,57.8
2023-07-12 04:41,19.9
2023-07-12 08:35,75.4
2023-07-12 08:48,86.4
2023-07-12 10:47,86.9
2023-07-12 12:45,128.3
2023-07-12 14:47,113.2
2023-07-12 16:54,70.5
2023-07-12 18:44,31.5
2023-07-13 06:19,37.5
2023-07-13 06:49,30.1
2023-07-13 08:44,100.7
2023-07-13 11:05,63.3
2023-07-13 12:41,69.8
2023-07-13 16:00,59.6
2023-07-13 17:00,43.4
2023-07-13 18:41,11.7
2023-07-13 21:41,31.3
2023-07-13 22:41,31.5
2023-07-14 00:41,51.6
2023-07-14 02:41,73.6
2023-07-14 04:41,31.2
2023-07-14 06:57,32.2
2023-07-14 08:41,70.2
2023-07-14 10:44,47.2
2023-07-14 12:41,33.7
2023-07-14 15:14,43.5
2023-07-14 17:17,54.6
2023-07-14 18:54,19.7
2023-07-14 20:54,35.8
2023-07-14 22:41,17.7
2023-07-15 00:41,82.2
2023-07-15 02:41,57.0
2023-07-15 07:38,32.2
2023-07-15 10:08,61.5
2023-07-15 10:21,68.9
2023-07-15 12:25,57.5
2023-07-15 14:27,51.3
2023-07-15 16:36,57.4
2023-07-15 18:17,64.0
2023-07-15 20:20,26.9
2023-07-15 22:16,14.9
2023-07-16 00:17,46.7
2023-07-16 02:16,39.1
2023-07-16 04:16,32.1
2023-07-16 07:10,31.3
2023-07-16 09:29,34.6
2023-07-16 10:45,31.3
2023-07-16 12:17,35.8
2023-07-16 15:04,89.6
2023-07-16 16:17,47.1
2023-07-16 18:16,27.2
2023-07-16 20:16,81.8
2023-07-16 22:16,25.4
2023-07-17 00:16,41.1
2023-07-17 02:16,34.4
2023-07-17 04:16,45.5
2023-07-17 06:48,21.3
2023-07-17 09:09,74.4
2023-07-17 10:30,123.0
2023-07-17 12:17,79.2
2023-07-17 16:25,35.3
2023-07-17 18:25,56.4
2023-07-17 20:16,25.5
2023-07-18 00:16,79.6
2023-07-18 02:32,48.2
2023-07-18 04:16,71.7
2023-07-18 08:15,22.3
2023-07-18 08:23,62.8
2023-07-18 10:35,96.1
2023-07-18 12:38,86.5
2023-07-18 14:16,72.8
2023-07-18 18:03,23.4
2023-07-18 18:17,19.2
2023-07-18 20:17,27.6
2023-07-18 22:16,32.3
2023-07-19 00:16,37.7
2023-07-19 02:16,63.4
2023-07-19 04:16,51.6
2023-07-19 07:48,27.5
2023-07-19 08:16,29.8
2023-07-19 10:20,112.2
2023-07-19 12:18,93.7
2023-07-19 14:16,22.5
2023-07-19 16:31,30.9
2023-07-19 18:18,42.1
2023-07-19 21:21,45.1
2023-07-19 22:16,95.6
2023-07-20 00:16,89.5
2023-07-20 02:16,30.4
2023-07-20 04:16,63.7
2023-07-20 06:28,69.0
2023-07-20 08:16,81.6
2023-07-20 10:16,62.5
2023-07-20 12:24,27.1
2023-07-20 14:19,24.9
2023-07-20 16:16,33.9
2023-07-20 21:50,15.3
2023-07-20 21:51,19.8
2023-07-20 22:17,55.8
2023-07-21 00:16,44.4
2023-07-21 02:16,53.4
2023-07-21 04:16,52.7
2023-07-21 06:19,24.8
2023-07-21 08:16,73.7
2023-07-21 12:04,49.0
2023-07-21 12:21,35.9
2023-07-21 14:16,27.7
2023-07-21 16:47,32.4
2023-07-21 18:16,37.9
2023-07-21 20:27,41.3
2023-07-22 08:28,51.5
2023-07-22 11:26,29.4
2023-07-22 13:56,35.7
2023-07-22 14:42,55.5
2023-07-22 16:27,37.4
2023-07-22 19:32,15.4
2023-07-22 20:26,22.3
2023-07-22 22:25,10.2
2023-07-23 00:25,22.5
2023-07-23 02:25,16.8
2023-07-23 04:25,27.0
2023-07-23 06:25,53.1
2023-07-23 08:40,22.6
2023-07-23 12:41,126.6
2023-07-24 06:11,60.1
2023-07-24 08:12,37.4
2023-07-24 10:12,93.3
2023-07-24 12:11,88.5
2023-07-24 16:37,61.3
2023-07-24 18:12,33.5
2023-07-24 21:03,23.4
2023-07-24 22:46,36.8
2023-07-25 00:47,74.2
2023-07-25 02:46,60.5
2023-07-25 04:47,65.3
2023-07-25 08:53,18.1
2023-07-25 10:46,148.1
2023-07-25 12:49,86.7
2023-07-25 14:47,58.3
2023-07-25 16:59,34.2
2023-07-25 18:47,27.4
2023-07-25 22:17,22.9
2023-07-25 22:46,30.4
2023-07-26 00:46,69.3
2023-07-26 02:46,30.9
2023-07-26 04:47,38.0
2023-07-26 09:22,89.5
2023-07-26 09:23,59.5
2023-07-26 10:47,118.8
2023-07-26 12:47,32.5
2023-07-26 14:48,60.6
2023-07-26 18:40,37.8
2023-07-26 18:57,23.1
2023-07-26 21:19,20.1
2023-07-26 22:47,40.0
2023-07-27 00:47,61.4
2023-07-27 02:46,37.8
2023-07-27 04:47,61.4
2023-07-27 06:47,68.9
2023-07-27 08:49,43.9
2023-07-27 10:50,100.4
2023-07-27 12:47,73.6
2023-07-27 15:04,26.8
2023-07-27 16:59,32.5
2023-07-27 18:46,20.9
2023-07-27 21:01,22.8
2023-07-27 22:47,80.9
2023-07-28 00:47,126.5
2023-07-28 02:47,65.6
2023-07-28 04:49,48.0
2023-07-28 10:37,57.8
2023-07-28 12:40,63.0
2023-07-28 15:39,52.1
2023-07-28 17:10,43.7
2023-07-28 18:38,36.4
2023-07-28 20:45,31.8
2023-07-28 22:32,59.1
2023-07-29 00:32,36.3
2023-07-29 02:32,34.3
2023-07-29 04:32,76.0
2023-07-29 07:14,61.6
2023-07-29 10:32,32.1
2023-07-29 12:33,80.1
2023-07-29 15:49,36.4
2023-07-29 17:59,74.0
2023-07-29 18:32,49.4
2023-07-29 20:40,42.0
2023-07-29 22:33,15.3
2023-07-30 00:32,25.1
2023-07-30 02:32,33.5
