date,calcium_mg,calories,carbs_g,cholesterol_mg,fat_g,fiber_g,iron_mg,mono_fat_g,poly_fat_g,potassium_mg,protein_g,sat_fat_g,sodium_mg,sugar_g,vitamin_c_mg
2017-02-07,0.0,72.0,6.3,10.0,2.4,0.0,0.0,0.0,0.0,0.0,4.0,0.0,50.0,6.0,0.0
2017-02-08,76.2,1426.1,86.9,334.8,97.9,21.8,5.1,30.3,7.4,1672.6,56.6,45.5,1716.8,37.1,42.6
2017-02-09,459.2,2423.3,207.3,408.0,108.7,43.3,10.8,29.0,7.3,2533.0,136.4,38.9,4450.8,51.5,50.9
2017-02-10,320.4,2072.7,207.0,369.5,84.2,23.6,10.4,13.9,6.7,1876.2,83.3,17.6,3702.0,19.8,117.0
2017-02-11,1166.0,4187.6,340.7,723.7,141.4,37.6,21.8,13.2,7.4,3028.8,225.8,61.6,3564.8,141.8,252.8
2017-02-12,491.5,1781.4,130.5,292.0,102.8,31.5,6.7,34.1,8.9,2423.7,77.2,30.1,2082.9,68.7,110.1
2017-02-13,790.8,2412.7,187.5,320.0,98.7,40.6,8.8,40.8,19.9,2812.3,93.5,40.4,2828.8,68.6,450.0
2017-02-14,572.4,2429.6,179.8,573.0,107.5,40.9,10.7,38.2,9.2,3321.7,105.3,39.1,1910.4,40.2,73.5
2017-02-15,1101.5,2678.5,209.8,276.8,126.4,37.8,7.1,47.3,15.4,2289.7,137.7,50.9,2970.9,123.6,178.4
2017-02-16,1237.8,2936.3,272.3,150.2,124.7,51.1,8.3,22.9,7.8,2681.3,144.5,20.1,5681.0,97.9,482.0
2017-02-17,89.3,3309.7,301.0,493.8,129.0,9.8,3.3,18.7,5.3,659.0,105.4,27.3,4426.8,51.2,32.3
2017-02-18,1207.5,3184.6,339.2,648.0,96.4,64.6,37.4,13.9,3.2,4692.4,210.6,38.4,4568.2,167.0,282.0
2017-02-19,1205.0,1980.0,192.0,316.0,105.6,39.9,7.9,39.5,13.0,4432.0,77.2,48.0,2193.7,101.6,405.0
2017-02-20,611.0,2326.8,218.6,457.0,101.8,43.9,11.0,38.2,11.3,3747.4,136.9,30.3,3244.6,83.3,148.2
2017-02-21,708.9,2142.1,253.7,380.4,92.6,43.4,22.1,24.5,7.0,3729.9,85.6,26.9,3468.0,152.6,223.8
2017-02-22,554.0,2048.6,146.7,537.8,101.2,26.6,6.2,21.5,5.9,1652.3,101.0,27.1,2651.5,38.4,115.2
