date,vo2max
2023-06-25,44.7
2023-06-27,45.5
2023-06-29,45.9
2023-06-30,46.1
2023-07-01,46.7
2023-07-10,46.6
2023-07-13,46.6
2023-07-16,46.6
2023-07-20,46.5
2023-07-27,46.1
2023-07-31,46.9
2023-08-04,46.1
2023-08-04,46.1
2023-08-06,45.5
2023-08-10,45.1
2023-08-14,45.1
2023-08-15,44.0
2023-08-18,43.4
2023-08-22,43.4
2023-08-23,43.4
2023-08-24,42.9
2023-08-24,42.9
2023-08-25,43.1
2023-08-28,44.3
2023-09-01,44.7
2023-09-03,44.7
2023-09-04,44.9
2023-09-08,45.5
2023-09-14,45.9
2023-09-17,46.2
2023-09-19,46.2
2023-09-21,45.8
2023-09-23,46.0
2023-09-25,45.2
2023-09-28,45.0
2023-09-29,45.0
2023-10-13,44.6
2023-10-17,44.6
2023-10-20,44.1
2023-10-28,43.7
2023-11-08,43.7
2023-12-12,44.0
2023-12-18,44.0
2024-01-02,44.3
2024-01-08,44.7
2024-02-06,44.7
2024-03-02,37.2
2024-04-15,39.6
2024-04-17,39.7
2024-04-22,40.1
2024-05-05,38.7
2024-05-06,38.4
2024-05-07,39.7
2024-05-22,41.0
2024-05-23,40.9
2024-05-24,41.0
2024-06-05,40.5
2024-06-06,40.5
2024-06-21,40.5
2024-06-22,40.8
2024-06-24,40.9
2024-06-25,41.3
2024-06-26,41.6
2024-07-01,41.8
2024-07-02,42.1
2024-07-03,42.5
2024-07-05,42.6
2024-07-07,42.6
2024-07-08,42.6
2024-07-09,42.8
2024-07-10,42.9
2024-07-15,43.4
2024-07-16,43.4
2024-07-18,43.5
2024-07-21,43.8
2024-07-24,44.1
2024-07-30,44.6
2024-08-01,44.4
2024-08-05,44.3
2024-08-09,44.4
2024-08-12,44.5
2024-08-14,44.6
2024-08-31,44.2
2024-09-06,44.0
2024-09-16,43.5
2024-09-26,44.3
2024-09-30,44.7
2024-10-23,44.8
2025-02-18,40.5
2025-06-15,34.1
2025-06-18,34.8
2025-06-20,34.9
2025-06-20,34.9
2025-06-21,35.3
2025-06-21,35.5
2025-06-24,35.9
2025-06-25,35.9
2025-06-29,36.0
2025-07-03,36.3
2025-07-07,36.2
2025-07-19,37.2
2025-07-22,37.1
2025-07-28,36.9
2025-07-30,36.9
2025-08-03,39.7
2025-08-04,39.6
2025-08-08,39.5
2025-08-12,38.8
2025-08-13,38.6
2025-08-16,38.7
2025-08-19,39.4
2025-08-23,40.3
2025-09-01,40.5
2025-09-02,41.9
2025-09-09,42.0
2025-09-11,44.8
2025-09-17,45.3
2025-09-19,46.5
2025-09-23,45.6
2025-10-01,45.6
2025-10-07,45.9
2025-10-08,45.6
2025-10-08,45.3
2025-10-09,45.2
2025-10-09,45.2
2025-10-11,44.8
2025-10-14,44.9
2025-10-15,44.9
2025-10-17,44.2
2025-10-17,44.2
2025-10-17,44.5
2025-10-19,44.2
2025-10-21,43.8
2025-10-21,42.7
2025-10-25,42.7
2025-10-29,42.8
2025-10-30,42.7
2025-11-01,41.8
2025-11-02,41.9
2025-11-03,41.5
2026-01-05,39.7
2026-01-16,40.6
2026-01-19,40.6
2026-01-23,40.8
2026-01-28,40.2
